url,url2,loc,city,ST,intl,date,popnum,FIPS
http://www.alaskapublic.org/2014/11/26/anchorage-residents-demonstrate-in-solidarity-with-ferguson-mo/,,"Anchorage, AK",Anchorage,AK,0,11/26/14,25,203000
http://www.adn.com/article/20141206/black-lives-matter-protest-anchorage-echoes-national-concerns,,"Anchorage, AK",Anchorage,AK,0,12/6/14,120,203000
https://www.facebook.com/NMOS2014/timeline?ref=page_internal,https://www.facebook.com/National-Moment-of-Silence-2014-Little-Rock-480313318739032/,Little Rock,Little Rock,AR,0,8/14/14,NA,541000
http://www.al.com/living/index.ssf/2014/11/al_sharpton_lists_birmingham_a.html,,1729 5th Avenue North,Birmingham,AL,0,11/24/14,NA,107000
http://www.al.com/news/birmingham/index.ssf/2015/04/black_lives_matters_protesters.html,,"Birmingham, AL",Birmingham,AL,0,4/14/15,12,107000
http://www.bizjournals.com/birmingham/news/2014/12/19/black-lives-matter-protest-slows-business-at-the.html,http://www.al.com/news/birmingham/index.ssf/2014/12/protests_on_280_at_galleria_po.html,"Birmingham, AL",Birmingham,AL,0,12/19/14,100,107000
http://www.abc3340.com/story/27994724/black-lives-matter-demonstration-held-in-five-points,http://www.abcnews4.com/story/27994724/black-lives-matter-demonstration-held-in-five-points,"Birmingham, AL",Birmingham,AL,0,1/31/15,NA,107000
http://www.al.com/news/birmingham/index.ssf/2015/02/black_lives_matter_protest_blo.html,,"Homewood, AL",Homewood,AL,0,2/14/15,15,135800
http://www.al.com/news/birmingham/index.ssf/2014/12/black_lives_matter_protesters_1.html,,"Homewood, AL",Homewood,AL,0,12/26/14,30,135800
http://www.al.com/news/birmingham/index.ssf/2014/12/black_lives_matter_protesters.html,,"Hoover, AL",Hoover,AL,0,12/19/14,55,135896
http://whnt.com/2015/06/18/huntsville-ame-church-holds-prayer-vigil-for-charleston-victims/,,"Huntsville, AL",Huntsville,AL,0,6/18/15,24,137000
http://www.katv.com/story/29358240/vigil-held-to-honor-charleston-victims-confess-sins-of-past-discrimination,NA,"Conway, AR",Conway,AR,0,6/18/15,NA,515190
http://www.fox16.com/story/d/story/peaceful-protest-in-little-rock-to-support-ferguso/29261/4k0BDnC-rE69XaGMjayQ9g,,"Little Rock, AR",Little Rock,AR,0,8/17/14,30,541000
http://www.pnhp.org/news/2014/december/medical-students-to-hold-nationwide-%E2%80%98die-ins%E2%80%99-and-protests-wednesday-because-blac,,"University of Arkansas, 4301 W Markham St, Little Rock, AR 72205",Little Rock,AR,0,12/10/14,NA,541000
http://www.al.com/living/index.ssf/2014/11/al_sharpton_lists_birmingham_a.html,,400 West Washington,Phoenix,AZ,0,11/24/14,NA,4157500
http://blogs.phoenixnewtimes.com/valleyfever/2014/08/locals_protests_shooting_death_of_michael_brown.php,,"Phoenix, AZ",Phoenix,AZ,0,8/21/14,25,4157500
http://www.buzzfeed.com/jimdalrympleii/shutitdown-protests-engulf-american-cities-for-a-second-nigh#.gs1JE4V5KV,,Phoenix,Phoenix,AZ,0,12/4/14,40,4157500
http://time.com/3963692/bernie-sanders-martin-omalley-black-lives-matter/,,"Phoenix, AZ",Phoenix,AZ,0,7/18/15,48,4157500
http://time.com/3963692/bernie-sanders-martin-omalley-black-lives-matter/,,"Phoenix, AZ",Phoenix,AZ,0,7/18/15,48,4157500
http://www.kpho.com/story/27679019/stop-the-killing-protest-held-in-downtown-phoenix,,"Phoenix, AZ",Phoenix,AZ,0,12/20/14,200,4157500
https://www.facebook.com/NMOS2014/timeline?ref=page_internal,https://www.facebook.com/events/902521466443415/,Phoenix,Phoenix,AZ,0,8/14/14,230,4157500
http://www.azcentral.com/story/news/local/phoenix/2015/01/19/phoenix-mlk-march-martin-luther-king-brk/22009913/,,"Phoenix, AZ",Phoenix,AZ,0,1/19/15,1000,4157500
https://www.facebook.com/NMOS2014/timeline?ref=page_internal,https://www.facebook.com/events/695342890535882/,Tucson,Tucson,AZ,0,8/14/14,70,477000
http://www.pnhp.org/news/2014/december/medical-students-to-hold-nationwide-%E2%80%98die-ins%E2%80%99-and-protests-wednesday-because-blac,,"University of Arizona, 1501 N Campbell Ave, Tucson, AZ 85724",Tucson,AZ,0,12/10/14,NA,477000
http://www.kerngoldenempire.com/story/d/story/police-protests-near-valley-plaza-mall/40112/wnNRDkcwZkm4a9EvYxOpYg,,"Bakersfield, CA",Bakersfield,CA,0,12/21/14,30,603526
http://www.dailycal.org/2015/04/18/black-student-union-members-block-sather-gate-on-cal-day-morning/,,University of California - Berkeley,Berkeley,CA,0,4/18/15,10,606000
http://www.dailycal.org/2015/01/03/activists-march-shops-restaurants-black-brunch-demonstration/,,"Berkeley, CA",Berkeley,CA,0,1/3/15,30,606000
http://www.berkeleyside.com/2015/02/11/students-hold-march-to-pressure-city-council-to-adopt-police-reforms/comment-page-1/,,"Berkeley, CA",Berkeley,CA,0,2/10/15,150,606000
http://www.dailycal.org/2015/06/19/black-student-union-holds-vigil-protest-for-charleston-victims/,,"Univeristy of California, Berkeley",Berkeley,CA,0,6/18/15,200,606000
http://sf.eater.com/2014/12/4/7337283/berkeley-black-student-union-occupies-campus-cafe-in-protest,,University of California - Berkeley,Berkeley,CA,0,12/4/14,300,606000
http://www.berkeleyside.com/2014/12/06/breaking-post-ferguson-demo-in-downtown-berkeley-march-continues-to-berkeley-police-hq/,,"Berkeley, CA",Berkeley,CA,0,12/6/14,300,606000
http://kron4.com/2014/12/06/400-protesters-marching-on-shattuck-avenue-towards-downtown-berkeley/,,"Berkeley, CA",Berkeley,CA,0,12/6/14,400,606000
http://mashable.com/2014/12/09/garner-berkeley-interstate-80/,,"Berkeley, CA",Berkeley,CA,0,12/8/14,2000,606000
http://america.aljazeera.com/articles/2014/12/1/ferguson-handsupwalkoutobama.html,http://www.usatoday.com/story/news/2014/12/14/berkeley-protests-civil-rights-anti-racism-michael-brown-eric-garner/20327175/,Berkeley Law School,Berkeley,CA,0,12/1/14,NA,606000
http://america.aljazeera.com/articles/2014/12/1/ferguson-handsupwalkoutobama.html,http://www.davisenterprise.com/local-news/protesters-take-to-the-streets/,UC Davis,Davis,CA,0,12/1/14,60,618100
http://www.usatoday.com/story/news/2015/01/18/oakland-protests-blacklivesmatter-walmart/21952971/,,"Emeryville, CA",Emeryville,CA,0,1/18/15,100,622594
http://sfbay.ca/2015/02/21/protesters-shut-down-emeryville-home-depot/,,"Emeryville, CA",Emeryville,CA,0,2/21/15,125,622594
http://www.huffingtonpost.com/2014/12/10/whitecoats4blacklives_n_6304736.html,,"UC Irvine, 252 Irvine Hall, Irvine, CA 92697",Irvine,CA,0,12/10/14,30,636770
https://www.facebook.com/NMOS2014/timeline?ref=page_internal,https://www.facebook.com/events/527276700707735/,La Jolla,La Jolla,CA,0,8/14/14,35,666000
http://www.huffingtonpost.com/2014/12/10/whitecoats4blacklives_n_6304736.html,,"UC San Diego, 9500 Gilman Dr, La Jolla, CA 92093",La Jolla,CA,0,12/10/14,45,666000
http://www.10news.com/news/san-diegans-hold-vigil-for-charleston-victims,,"La Mesa, CA",La Mesa,CA,0,6/18/15,200,640004
http://www.laweekly.com/news/ezell-ford-protesters-booted-from-mayoral-event-video-5679616,,"Los Angeles, CA",Los Angeles,CA,0,6/11/15,2,644000
http://www.latimes.com/local/lanow/la-me-ln-black-lives-matter-occupy-lapd-protest-20150105-story.html,,"Los Angeles, CA",Los Angeles,CA,0,1/5/15,20,644000
http://america.aljazeera.com/articles/2014/12/1/ferguson-handsupwalkoutobama.html,https://www.rt.com/usa/210531-handsup-walkout-rallies-thousands/,Los Angeles,Los Angeles,CA,0,12/1/14,30,644000
http://www.nbclosangeles.com/news/local/Protest-South-LA-Woman-Died-in-Texas-Jail-Cell-318124661.html,,"Los Angeles, CA",Los Angeles,CA,0,7/21/15,30,644000
http://www.buzzfeed.com/jimdalrympleii/shutitdown-protests-engulf-american-cities-for-a-second-nigh#.gs1JE4V5KV,http://www.theepochtimes.com/n3/1121619-eric-garner-decision-sparks-protest-in-los-angeles/,"Los Angeles, Leimart Park",Los Angeles,CA,0,12/4/14,50,644000
http://www.latimes.com/local/crime/la-me-silent-vigil-20141216-story.html,,"Los Angeles, CA",Los Angeles,CA,0,12/15/14,50,644000
http://www.latimes.com/local/lanow/la-me-ln-six-arrested-south-la-protest-20150428-story.html,,"Los Angeles, CA",Los Angeles,CA,0,4/27/15,50,644000
https://twitter.com/search?q=%23whitecoats4blacklives%20ucla&src=typd,,"UCLA Medical Education Program, 10833 Le Conte Ave, Los Angeles, CA 90095",Los Angeles,CA,0,12/10/14,75,644000
